code,type,object,code_name,error_name
"01020409","Access","Denied","Free Parking","Time"
"0102040A","Access","Denied","Free Parking","Area"
"0102040B","Access","Denied","Free Parking","Level"
"0102040C","Access","Denied","Free Parking","APB"
"0102040D","Access","Denied","Free Parking","Inter Lock"
"0102040E","Access","Denied","Free Parking","Trap"
"0102040F","Access","Denied","Free Parking","Escort"
"01020410","Access","Denied","Free Parking","Guard Tour"
"01020411","Access","Denied","Free Parking","Two Card"
"01020412","Access","Denied","Free Parking","Two Reader"
"01020414","Access","Denied","Free Parking","Wrong Course"
"01020415","Access","Denied","Free Parking","Parking Date Over"
"01020416","Access","Denied","Free Parking","Parking Max Limit"
"01020417","Access","Denied","Free Parking","Regular Parkiing Max Limit"
"01020418","Access","Denied","Free Parking","Free Parking Max Limit"
"01020419","Access","Denied","Free Parking","Free Sub Parking Max Limit"
"0102041A","Access","Denied","Free Parking","Sub Parking Max Limit"
"0102041B","Access","Denied","Free Parking","Validation Date"
"0102041C","Access","Denied","Free Parking","Global APB"
"0102041D","Access","Denied","Free Parking","Lock Down"
"0102041E","Access","Denied","Free Parking","Restrict Count"
"0102041F","Access","Denied","Free Parking","Restrict Time"
"01020420","Access","Denied","Free Parking","Meal Option"
"01020421","Access","Denied","Free Parking","Meal Time"
"01020501","Access","Denied","Free Sub Parking","ID"
"01020502","Access","Denied","Free Sub Parking","Card"
"01020503","Access","Denied","Free Sub Parking","FP"
"01020504","Access","Denied","Free Sub Parking","ID and Card"
"01020505","Access","Denied","Free Sub Parking","ID and FP"
"01020506","Access","Denied","Free Sub Parking","Card and FP"
"01020507","Access","Denied","Free Sub Parking","ID and Card and FP"
"01020508","Access","Denied","Free Sub Parking","Not Enabled"
"01020509","Access","Denied","Free Sub Parking","Time"
"0102050A","Access","Denied","Free Sub Parking","Area"
"0102050B","Access","Denied","Free Sub Parking","Level"
"0102050C","Access","Denied","Free Sub Parking","APB"
"0102050D","Access","Denied","Free Sub Parking","Inter Lock"
"0102050E","Access","Denied","Free Sub Parking","Trap"
"0102050F","Access","Denied","Free Sub Parking","Escort"
"01020510","Access","Denied","Free Sub Parking","Guard Tour"
"01020511","Access","Denied","Free Sub Parking","Two Card"
"01020512","Access","Denied","Free Sub Parking","Two Reader"
"01020514","Access","Denied","Free Sub Parking","Wrong Course"
"01020515","Access","Denied","Free Sub Parking","Parking Date Over"
"01020516","Access","Denied","Free Sub Parking","Parking Max Limit"
"01020517","Access","Denied","Free Sub Parking","Regular Parkiing Max Limit"
"01020518","Access","Denied","Free Sub Parking","Free Parking Max Limit"
"01020519","Access","Denied","Free Sub Parking","Free Sub Parking Max Limit"
"0102051A","Access","Denied","Free Sub Parking","Sub Parking Max Limit"
"0102051B","Access","Denied","Free Sub Parking","Validation Date"
"0102051C","Access","Denied","Free Sub Parking","Global APB"
"0102051D","Access","Denied","Free Sub Parking","Lock Down"
"0102051E","Access","Denied","Free Sub Parking","Restrict Count"
"0102051F","Access","Denied","Free Sub Parking","Restrict Time"
"01020520","Access","Denied","Free Sub Parking","Meal Option"
"01020521","Access","Denied","Free Sub Parking","Meal Time"
"01020601","Access","Denied","Sub Parking","ID"
"01020602","Access","Denied","Sub Parking","Card"
"01020603","Access","Denied","Sub Parking","FP"
"01020604","Access","Denied","Sub Parking","ID and Card"
"01020605","Access","Denied","Sub Parking","ID and FP"
"01020606","Access","Denied","Sub Parking","Card and FP"
"01020607","Access","Denied","Sub Parking","ID and Card and FP"
"01020608","Access","Denied","Sub Parking","Not Enabled"
"01020609","Access","Denied","Sub Parking","Time"
"0102060A","Access","Denied","Sub Parking","Area"
"0102060B","Access","Denied","Sub Parking","Level"
"0102060C","Access","Denied","Sub Parking","APB"
"0102060D","Access","Denied","Sub Parking","Inter Lock"
"0102060E","Access","Denied","Sub Parking","Trap"
"0102060F","Access","Denied","Sub Parking","Escort"
"01020610","Access","Denied","Sub Parking","Guard Tour"
"01020611","Access","Denied","Sub Parking","Two Card"
"01020612","Access","Denied","Sub Parking","Two Reader"
"01020614","Access","Denied","Sub Parking","Wrong Course"
"01020615","Access","Denied","Sub Parking","Parking Date Over"
"01020616","Access","Denied","Sub Parking","Parking Max Limit"
"01020617","Access","Denied","Sub Parking","Regular Parkiing Max Limit"
"01020618","Access","Denied","Sub Parking","Free Parking Max Limit"
"01020619","Access","Denied","Sub Parking","Free Sub Parking Max Limit"
"0102061A","Access","Denied","Sub Parking","Sub Parking Max Limit"
"0102061B","Access","Denied","Sub Parking","Validation Date"
"0102061C","Access","Denied","Sub Parking","Global APB"
"0102061D","Access","Denied","Sub Parking","Lock Down"
"0102061E","Access","Denied","Sub Parking","Restrict Count"
"0102061F","Access","Denied","Sub Parking","Restrict Time"
"01020620","Access","Denied","Sub Parking","Meal Option"
"01020621","Access","Denied","Sub Parking","Meal Time"
"01020701","Access","Denied","MMAA","ID"
"01020702","Access","Denied","MMAA","Card"
"01020703","Access","Denied","MMAA","FP"
"01020704","Access","Denied","MMAA","ID and Card"
"01020705","Access","Denied","MMAA","ID and FP"
"01020706","Access","Denied","MMAA","Card and FP"
"01020707","Access","Denied","MMAA","ID and Card and FP"
"01020708","Access","Denied","MMAA","Not Enabled"
"01020709","Access","Denied","MMAA","Time"
"0102070A","Access","Denied","MMAA","Area"
"0102070B","Access","Denied","MMAA","Level"
"0102070C","Access","Denied","MMAA","APB"
"0102070D","Access","Denied","MMAA","Inter Lock"
"0102070E","Access","Denied","MMAA","Trap"
"0102070F","Access","Denied","MMAA","Escort"
"01020710","Access","Denied","MMAA","Guard Tour"
"01020711","Access","Denied","MMAA","Two Card"
"01020712","Access","Denied","MMAA","Two Reader"
"01020714","Access","Denied","MMAA","Wrong Course"
"01020715","Access","Denied","MMAA","Parking Date Over"
"01020716","Access","Denied","MMAA","Parking Max Limit"
"01020717","Access","Denied","MMAA","Regular Parkiing Max Limit"
"01020718","Access","Denied","MMAA","Free Parking Max Limit"
"01020719","Access","Denied","MMAA","Free Sub Parking Max Limit"
"0102071A","Access","Denied","MMAA","Sub Parking Max Limit"
"0102071B","Access","Denied","MMAA","Validation Date"
"0102071C","Access","Denied","MMAA","Global APB"
"0102071D","Access","Denied","MMAA","Lock Down"
"0102071E","Access","Denied","MMAA","Restrict Count"
"0102071F","Access","Denied","MMAA","Restrict Time"
"01020720","Access","Denied","MMAA","Meal Option"
"01020721","Access","Denied","MMAA","Meal Time"
"10020101","Data","Action","Registry","Success"
"10020102","Data","Action","Registry","All Success"
"10020103","Data","Action","Registry","All Failed"
"10020104","Data","Action","Registry","Failed"
"10020105","Data","Action","Registry","Failed by Time out"
"10020106","Data","Action","Registry","Failed by Incorrect ID"
"10020107","Data","Action","Registry","Failed by None Existed"
"10020108","Data","Action","Registry","Failed by Verification"
"10020109","Data","Action","Registry","Failed by already exist"
"1002010A","Data","Action","Registry","Failed by Max Limit"
"1002010B","Data","Action","Registry","Failed by Master not found"
"1002010C","Data","Action","Registry","Failed by Master Max Limit"
"10020201","Data","Action","Delete","Success"
"10020202","Data","Action","Delete","All Success"
"10020203","Data","Action","Delete","All Failed"
"10020204","Data","Action","Delete","Failed"
"10020205","Data","Action","Delete","Failed by Time out"
"10020206","Data","Action","Delete","Failed by Incorrect ID"
"10020207","Data","Action","Delete","Failed by None Existed"
"10020208","Data","Action","Delete","Failed by Verification"
"10020209","Data","Action","Delete","Failed by already exist"
"1002020A","Data","Action","Delete","Failed by Max Limit"
"1002020B","Data","Action","Delete","Failed by Master not found"
"1002020C","Data","Action","Delete","Failed by Master Max Limit"
"10020301","Data","Action","Change","Success"
"10020302","Data","Action","Change","All Success"
"10020303","Data","Action","Change","All Failed"
"10020304","Data","Action","Change","Failed"
"10020305","Data","Action","Change","Failed by Time out"
"10020306","Data","Action","Change","Failed by Incorrect ID"
"10020307","Data","Action","Change","Failed by None Existed"
"10020308","Data","Action","Change","Failed by Verification"
"10020309","Data","Action","Change","Failed by already exist"
"1002030A","Data","Action","Change","Failed by Max Limit"
"1002030B","Data","Action","Change","Failed by Master not found"
"1002030C","Data","Action","Change","Failed by Master Max Limit"
"10030101","Data","Group Apply","Registry","Success"
"10030102","Data","Group Apply","Registry","All Success"
"10030103","Data","Group Apply","Registry","All Failed"
"10030104","Data","Group Apply","Registry","Failed"
"10030105","Data","Group Apply","Registry","Failed by Time out"
"10030106","Data","Group Apply","Registry","Failed by Incorrect ID"
"10030107","Data","Group Apply","Registry","Failed by None Existed"
"10030108","Data","Group Apply","Registry","Failed by Verification"
"10030109","Data","Group Apply","Registry","Failed by already exist"
"1003010A","Data","Group Apply","Registry","Failed by Max Limit"
"1003010B","Data","Group Apply","Registry","Failed by Master not found"
"1003010C","Data","Group Apply","Registry","Failed by Master Max Limit"
"10030201","Data","Group Apply","Delete","Success"
"10030202","Data","Group Apply","Delete","All Success"
"10030203","Data","Group Apply","Delete","All Failed"
"10030204","Data","Group Apply","Delete","Failed"
"10030205","Data","Group Apply","Delete","Failed by Time out"
"10030206","Data","Group Apply","Delete","Failed by Incorrect ID"
"10030207","Data","Group Apply","Delete","Failed by None Existed"
"10030208","Data","Group Apply","Delete","Failed by Verification"
"10030209","Data","Group Apply","Delete","Failed by already exist"
"1003020A","Data","Group Apply","Delete","Failed by Max Limit"
"1003020B","Data","Group Apply","Delete","Failed by Master not found"
"1003020C","Data","Group Apply","Delete","Failed by Master Max Limit"
"10030301","Data","Group Apply","Change","Success"
"10030302","Data","Group Apply","Change","All Success"
"10030303","Data","Group Apply","Change","All Failed"
"10030304","Data","Group Apply","Change","Failed"
"10030305","Data","Group Apply","Change","Failed by Time out"
"10030306","Data","Group Apply","Change","Failed by Incorrect ID"
"10030307","Data","Group Apply","Change","Failed by None Existed"
"10030308","Data","Group Apply","Change","Failed by Verification"
"10030309","Data","Group Apply","Change","Failed by already exist"
"1003030A","Data","Group Apply","Change","Failed by Max Limit"
"1003030B","Data","Group Apply","Change","Failed by Master not found"
"1003030C","Data","Group Apply","Change","Failed by Master Max Limit"
"10150101","Data","User","Registry","Success"
"10150102","Data","User","Registry","All Success"
"10150103","Data","User","Registry","All Failed"
"10150104","Data","User","Registry","Failed"
"10150105","Data","User","Registry","Failed by Time out"
"10150106","Data","User","Registry","Failed by Incorrect ID"
"10150107","Data","User","Registry","Failed by None Existed"
"10150108","Data","User","Registry","Failed by Verification"
"10150109","Data","User","Registry","Failed by already exist"
"1015010A","Data","User","Registry","Failed by Max Limit"
"1015010B","Data","User","Registry","Failed by Master not found"
"1015010C","Data","User","Registry","Failed by Master Max Limit"
"10150201","Data","User","Delete","Success"
"10150202","Data","User","Delete","All Success"
"10150203","Data","User","Delete","All Failed"
"10150204","Data","User","Delete","Failed"
"10150205","Data","User","Delete","Failed by Time out"
"10150206","Data","User","Delete","Failed by Incorrect ID"
"10150207","Data","User","Delete","Failed by None Existed"
"10150208","Data","User","Delete","Failed by Verification"
"10150209","Data","User","Delete","Failed by already exist"
"1015020A","Data","User","Delete","Failed by Max Limit"
"1015020B","Data","User","Delete","Failed by Master not found"
"1015020C","Data","User","Delete","Failed by Master Max Limit"
"10150301","Data","User","Change","Success"
"10150302","Data","User","Change","All Success"
"10150303","Data","User","Change","All Failed"
"10150304","Data","User","Change","Failed"
"10150305","Data","User","Change","Failed by Time out"
"10150306","Data","User","Change","Failed by Incorrect ID"
"10150307","Data","User","Change","Failed by None Existed"
"10150308","Data","User","Change","Failed by Verification"
"10150309","Data","User","Change","Failed by already exist"
"1015030A","Data","User","Change","Failed by Max Limit"
"1015030B","Data","User","Change","Failed by Master not found"
"1015030C","Data","User","Change","Failed by Master Max Limit"
"10160101","Data","User Info","Registry","Success"
"10160102","Data","User Info","Registry","All Success"
"10160103","Data","User Info","Registry","All Failed"
